Search,Corrected,Timestamp,IP,Search Function,Cat1,Cat2,Cat3,Cat4,Cat5,Geo,Genre
Dogs,dogs,2/21/2021 15:10,d620d9669986bddc0df0105c1628c449cc92fffb,keyword,Dogs,Human-animal relationships,Behavior,domestic animals,show dogs,United States,text
Recipies,recipes,2/21/2021 15:10,47540a78ec3d532ba77bde135766a0205bb418d8,keyword,Cooking,Low-fat diet,Diet therapy,Low-cholesterol diet,Recipes,United States,Recipes
Italian food,italian food,2/21/2021 15:10,42179c1ea5621aa4720217d9b95b701b21e9e25c,keyword,Food habits,Food,"Cooking, Italian",Social life and customs,Cooking,Italy,Congresses
Dog care,dog care,2/21/2021 15:10,d620d9669986bddc0df0105c1628c449cc92fffb,keyword,Dogs,Israel,dogs,Human-animal relationships,animals,United States,photographs
Unicorns,unicorns,2/21/2021 15:11,ac9aeb3704e417bfb09b59cb7a84a4a8af5e6925,keyword,unicorns,Unicorns,Conduct of life,women,mythology,France,Juvenile literature
Unicorns,unicorns,2/21/2021 15:11,ac9aeb3704e417bfb09b59cb7a84a4a8af5e6925,keyword,unicorns,Unicorns,Conduct of life,women,mythology,France,Juvenile literature
Golden retriever,golden retriever,2/21/2021 15:11,d620d9669986bddc0df0105c1628c449cc92fffb,keyword,Golden retriever,Dogs,Human-animal relationships,Memory,American poetry,Denmark,Fiction
Patrick Rothfuss,patrick rothfuss,2/21/2021 15:12,1cb82e501913335e6e24d757cfc4299fd557f750,author,Magicians,Dating (Social customs),Sex,Unicorns,Heroes,N/a,Fiction
Gone Girl,gone girl,2/21/2021 15:12,4a2ad90df287c25d80e89b2f3946e489dcdb6110,title,Popular music,Teenage girls,Jazz,African Americans,Blues (Music),United States,Fiction
WWII,wwii,2/21/2021 15:12,c6f66056e7cfb0286af3b64586e7e17694be5829,keyword,"World War, 1939-1945",soldiers,Jewish women,monuments,granite,Palestine,photographs
hjksdfl,hjksdfl,2/21/2021 15:12,8200dc388dc3762467e3394c0702b992b87dc8f2,keyword,N/a,N/a,N/a,N/a,N/a,N/a,N/a
ljksflgjs,ljksflgjs,2/21/2021 15:13,8200dc388dc3762467e3394c0702b992b87dc8f2,keyword,N/a,N/a,N/a,N/a,N/a,N/a,N/a
history,history,2/21/2021 15:13,36deb5164732a6280d283534f23e5187230f693e,keyword,history,Medicine,Study and teaching (Higher),"History, 19th Century",Smallpox,United States,History.
fort collins,fort collins,2/21/2021 15:13,f1c78c8681b4ed9a7ab9f43ab599e42a8f4d91e1,keyword,Research,Study and teaching,English language,Forests and forestry,Rhetoric,Colorado,government publication
mystery,mystery,2/21/2021 15:14,123566b4f50272132d36088b6d7a47ab8e11e83b,keyword,Investigation,Murder,Detective and mystery stories,FICTION,Women detectives,England,Fiction
mystery,mystery,2/21/2021 15:14,3a6e1bc3eb996469d0b375af89dca69e3e3ac242,keyword,Investigation,Murder,Detective and mystery stories,FICTION,Women detectives,England,Fiction
WW2,ww2,2/21/2021 15:14,c6f66056e7cfb0286af3b64586e7e17694be5829,keyword,photographs,portraits,"World War, 1939-1945",women,actuaries,Great Britain,photographs
Stock Market,stock market,2/21/2021 15:14,b6472a07061144c1c5d62c6268a73ec85e9f4923,keyword,Stock exchanges,Stocks,Investments,Prices,Finance,United States,text
the wind and the willows,the wind and the willows,2/21/2021 15:15,b0f1889f1349058137ede4369722c47923ad1d16,title,History and criticism,Jazz,Animals,Children,Books and reading,United States,Juvenile fiction
coffee,coffee,2/21/2021 15:15,e9dcf3986993273c17c7f7bfb044ae72c5e84116,keyword,Coffee,Coffee industry,Social aspects,Cooking (Coffee),Tea,United States,text
Invsting,inviting,2/21/2021 15:15,dc2d0fdf91a71c4a2d9e0d882302a756300c2a0a,keyword,Computer science,Software engineering,Logic design,Computer Communication Networks,Computer software,United States,Congresses
Investing,investing,2/21/2021 15:16,dc2d0fdf91a71c4a2d9e0d882302a756300c2a0a,keyword,"Investments, Foreign",Investments,Law and legislation,"Investments, Foreign (International law)",Finance,United States,text
Colorad o,colorado,2/21/2021 15:16,78495942b250145194792ddd4590f66b67f42b8b,keyword,Geology,Antiquities,Outdoor recreation,Indians of North America,Trails,Colorado,Maps
Jane Austen Biography,jane austen biography,2/21/2021 15:16,881e1ba2e8a22fd32a1adedbc7d0a42bda8dd401,keyword,"Novelists, English",Criticism and interpretation,Women and literature,"Women novelists, English",History and criticism,England,biography
clorado,colorado,2/21/2021 15:16,78495942b250145194792ddd4590f66b67f42b8b,keyword,Geology,Antiquities,Indians of North America,Outdoor recreation,Soils,Colorado,Maps
colorado,colorado,2/21/2021 15:17,78495942b250145194792ddd4590f66b67f42b8b,keyword,Antiquities,Geology,Outdoor recreation,Trails,Environmental aspects,Colorado,Maps
Trump,trump,2/21/2021 15:17,f1b47092610d381fc075764fa62ad448573a6094,keyword,Politics and government,Presidents,Election,Political aspects,Political culture,United States,text
Fort Collins,fort collins,2/21/2021 15:17,fc9ec1ab107e0b451773d95945eafadc60ceb34c,keyword,Research,Study and teaching,English language,Forests and forestry,Rhetoric,Colorado,Congresses
children's stories,children's stories,2/21/2021 15:18,4643e13df070525cc4bca0e00b64421cca2df61b,keyword,History and criticism,Children,Books and reading,Children's stories,Refugees,United States,text
elf,elf,2/21/2021 15:18,94ab36b77e380397ddeb9dde65a169a10bd055d9,keyword,English language,Variation,ELF electromagnetic fields,adverse effects,Petroleum industry and trade,France,text
Donald Trump,donald trump,2/21/2021 15:18,f1b47092610d381fc075764fa62ad448573a6094,keyword,Politics and government,Presidents,Election,Political aspects,Foreign relations,United States,text
Fast and Furious,fast and furious,2/21/2021 15:18,99d91f96e495abbde95ded01b3daf5891c667cbe,keyword,History and criticism,Politics and government,Social aspects,Rap (Music),Murder,United States,Fiction
Garth Brooks,garth brooks,2/21/2021 15:19,ca78bc88bc90270c3a7268400af97fdf3f6e4098,keyword,History and criticism,Country music,Popular music,Country musicians,Spiders,United States,Juvenile fiction
wimpy kid,wimpy kid,2/21/2021 15:19,fc1eac79995c1ec203eef762034605774ee5f128,keyword,Diaries,History and criticism,Middle schools,Children's literature,Censorship,United States,Juvenile fiction
Fast furious 2,fast furious 2,2/21/2021 15:19,99d91f96e495abbde95ded01b3daf5891c667cbe,keyword,History and criticism,English literature,Social aspects,Rap (Music),Popular music,United States,text
barbie,barbie,2/21/2021 15:20,6d92d85bee5ed0555f051ba727e8c9890fc2558b,keyword,"World War, 1939-1945",Barbie dolls,Atrocities,television personalities,War criminals,France,photographs
eruojiwnjsaipd,eruojiwnjsaipd,2/21/2021 15:20,4fc76f45bac17bf2769dfa4ac7286c2606a7f0be,keyword,N/a,N/a,N/a,N/a,N/a,N/a,N/a
finojiewf,finojiewf,2/21/2021 15:20,43d7205200206d87b2bb0093b07d14fd44604ea8,keyword,N/a,N/a,N/a,N/a,N/a,N/a,N/a
comuters,computers,2/21/2021 15:20,19bc06bd1926a1803f0b878045fb8d266197bb02,keyword,Computer science,Computer Communication Networks,Algorithm Analysis and Problem Complexity,Computer software,Theory of Computation,Yugoslavia,text
i know what you did last summer,i know what you did last summer,2/21/2021 15:21,dc81dbb5a2193bbbcdcc372011859e2c7a6118df,keyword,American poetry,Jazz,English literature,Poetry,Popular music,United States,Fiction
computers,computers,2/21/2021 15:21,19bc06bd1926a1803f0b878045fb8d266197bb02,keyword,Computer science,Computer Communication Networks,Algorithm Analysis and Problem Complexity,Computer software,Artificial intelligence,Yugoslavia,text
toyota camry,toyota camry,2/21/2021 15:21,a5e33c3aa3292f38aad8c6b911a16001b08618b0,keyword,Case studies,Automobile industry and trade,Management,Foreign economic relations,Employees,Kentucky,Fiction
how to knit a sweater,how to knit a sweater,2/21/2021 15:21,c18421daa1d38f1269be01737bc14862e756d4d2,keyword,Knitting,Sweaters,Children's clothing,Infants' clothing,Men's clothing,British Columbia,Patterns
how to sweat a knitter,how to sweat a knitter,2/21/2021 15:22,c18421daa1d38f1269be01737bc14862e756d4d2,keyword,N/a,N/a,N/a,N/a,N/a,N/a,N/a
pumpkin pie,pumpkin pie,2/21/2021 15:22,afa4cd4893c7f0157cd92cb0514b3d69a5bbdedf,keyword,Cooking,Desserts,"Cooking, American",Social life and customs,Food,United States,text
"""23052002913372""","""23052002913372""",2/21/2021 15:22,8d8c221a2260b30d9d67687cf3262531efcc47ac,keyword,N/a,N/a,N/a,N/a,N/a,N/a,N/a
paying fines,paying fines,2/21/2021 15:23,49a396ae52483c4dbaa24eab5578a4cef06a274d,keyword,"Painting, Chinese",architecture,"Painting, Flemish",Painting,"Landscape painting, Chinese",Netherlands,Catalogs
beer,beer,2/21/2021 15:23,c634146c0ed180ef2a9fdce0a040fc688d84146b,keyword,Beer,actresses,Beer industry,Brewing,Brewing industry,Beer-Sheva Theater Beer-Sheva,photographs
Bo diddley,bo diddley,2/21/2021 15:23,3b1f4ff1accb7105753e797dffada098d14affba,keyword,Rock music,Blues (Music),Rhythm and blues music,Music,African Americans,United States,Biography
ann coulter,ann coulter,2/21/2021 15:23,047d4254112e236586d692e8217d159761ba91e8,author,Politics and government,Conservatism,Political aspects,Liberalism,Women,United States,Congresses
resume help,resume help,2/21/2021 15:24,5a96e631fbb5a840225d96c28f21a32d4b81d834,keyword,Vocational guidance,Job hunting,"World War, 1939-1945",Résumés (Employment),Management,United States,text
calvin and hobbes,calvin and hobbes,2/21/2021 15:24,fd6ce31c33014dd27ab16bbc04fe09be3ffd132d,keyword,Political science,"Comic books, strips, etc",History and criticism,Philosophy,Hobbes (Fictitious character),United States,Comics (Graphic works)
picture books,picture books,2/21/2021 15:24,f4faac6b10b65e4bb56d74c506089b8d6eb2bd76,keyword,Motion pictures,History and criticism,Picture books for children,Social aspects,Motion picture industry,United States,text
fort collins,fort collins,2/21/2021 15:25,3a5bd0a6e90c8b8a91f5c2ff2f9d446cc46638a3,keyword,Research,Study and teaching,English language,Forests and forestry,Rhetoric,Colorado,Congresses
canada,canada,2/21/2021 15:25,fe375aa008798f0291667ebaed7d5bf442839183,keyword,Histoire,Social conditions,Politics and government,Indians of North America,Government policy,Canada,Periodicals
test prep,test prep,2/21/2021 15:25,3a5bd0a6e90c8b8a91f5c2ff2f9d446cc46638a3,keyword,Examinations,Certification,Electronic data processing personnel,LAW,Computer networks,United States,Study guides
bridgerton,bridgerton,2/21/2021 15:25,9d4e74c36659cb25a112b97c6e9f3847e1f094a0,keyword,Man-woman relationships,Marriage,Birch,Alder,Diaries,England,Fiction
picture books about magic,picture books about magic,2/21/2021 15:26,f4faac6b10b65e4bb56d74c506089b8d6eb2bd76,keyword,Motion pictures,History and criticism,Social aspects,Motion picture producers and directors,Books and reading,United States,text
bunnies,bunnies,2/21/2021 15:26,1d62acfd7266dc82ccae89caef7d48594b03081c,keyword,Christian life,Protestant authors,Jazz,Catholic authors,Rabbits,United States,Early works to 1800
beer in fort collins,beer in fort collins,2/21/2021 15:26,c634146c0ed180ef2a9fdce0a040fc688d84146b,keyword,Description and travel,American literature,Essays,American poetry,Beer industry,United States,text
trails,trails,2/21/2021 15:27,ba0da3c34e5d4e12f576635062b32e6e8b57aa37,keyword,Trails,Hiking,Outdoor recreation,Description and travel,Frontier and pioneer life,West (U.S.),Maps
fluffy,fluffy,2/21/2021 15:27,be20db93560a13dfc43e99c41165a5d81cc18a7e,keyword,Toy and movable books,Social aspects,Gay men,Women,Identity,United States,text
toronto,toronto,2/21/2021 15:27,fe375aa008798f0291667ebaed7d5bf442839183,keyword,Histoire,Jews,Social conditions,City planning,"Buildings, structures, etc",Ontario,History.
Geronimo Stilton,geronimo stilton,2/21/2021 15:27,11066d160e64c04a8c78f179d24e9d22644b182b,author,Mice,Appreciation,"Stilton, Geronimo (Fictitious character)","Children's stories, Italian","Fantasy fiction, Italian","Brazil, Northeast",Juvenile literature
the giving tree,the giving tree,2/21/2021 15:28,1d62acfd7266dc82ccae89caef7d48594b03081c,title,Christmas trees,Christmas,plantings,English literature,Art,Givat Yesha'yahu,photographs
the duke and i,the duke and i,2/21/2021 15:28,b130fec9df1a134a4815a8170a3a223c3ce5cbc7,title,Jazz,Art patronage,Art,Marriage,Nobility,Italy,Early works to 1800
colorado lakes,colorado lakes,2/21/2021 15:28,d797d440c7902877e7d5fec93ecef516bf1fe767,keyword,Geology,Environmental monitoring,Counting,Antiquities,Outdoor recreation,Colorado,Maps
