Search,Corrected,Timestamp,IP,Search Function,Cat1,Cat2,Cat3,Cat4,Cat5,Custom Cat1,Custom Cat2,Language
Dogs,dogs,2/21/2021 15:10,d620d9669986bddc0df0105c1628c449cc92fffb,keyword,self concept,therapeutic use,hypnotism,psychotherapy,,pets,,en
Recipies,recipes,2/21/2021 15:10,47540a78ec3d532ba77bde135766a0205bb418d8,keyword,cooking,cookery,american cooking,american cookery,casserole cooking,,,en
Italian food,italian food,2/21/2021 15:10,42179c1ea5621aa4720217d9b95b701b21e9e25c,keyword,italian cooking,italian cookery,"cooking, italian",food habits,food,,,en
Dog care,dog care,2/21/2021 15:10,d620d9669986bddc0df0105c1628c449cc92fffb,keyword,dogs,health,"self-care, health",pets,dogs - general,,,en
Unicorns,unicorns,2/21/2021 15:11,ac9aeb3704e417bfb09b59cb7a84a4a8af5e6925,keyword,unicorns,"animals, mythical, juvenile literature",mythical animals,fantasy fiction,music,children,,en
Unicorns,unicorns,2/21/2021 15:11,ac9aeb3704e417bfb09b59cb7a84a4a8af5e6925,keyword,unicorns,"animals, mythical, juvenile literature",mythical animals,fantasy fiction,music,children,,en
Golden retriever,golden retriever,2/21/2021 15:11,d620d9669986bddc0df0105c1628c449cc92fffb,keyword,golden retriever,dogs,golden retrievers,"dogs, juvenile literature",pets,,,en
Patrick Rothfuss,patrick rothfuss,2/21/2021 15:12,1cb82e501913335e6e24d757cfc4299fd557f750,author,fantasy,magicians,"fiction, fantasy, general",fantasy fiction,loss (psychology),,,en
Gone Girl,gone girl,2/21/2021 15:12,4a2ad90df287c25d80e89b2f3946e489dcdb6110,title,"fiction, mystery & detective, general","fiction, suspense",teenage girls,"missing persons, fiction",private investigators,,,en
WWII,wwii,2/21/2021 15:12,c6f66056e7cfb0286af3b64586e7e17694be5829,keyword,"world war, 1939-1945",biography,history,united states,american personal narratives,,,en
hjksdfl,hjksdfl,2/21/2021 15:12,8200dc388dc3762467e3394c0702b992b87dc8f2,keyword,N/a,N/a,N/a,N/a,N/a,,,en
ljksflgjs,ljksflgjs,2/21/2021 15:13,8200dc388dc3762467e3394c0702b992b87dc8f2,keyword,N/a,N/a,N/a,N/a,N/a,,,en
history,history,2/21/2021 15:13,36deb5164732a6280d283534f23e5187230f693e,keyword,english language,history,readers,early works to 1800,world history,,,en
fort collins,fort collins,2/21/2021 15:13,f1c78c8681b4ed9a7ab9f43ab599e42a8f4d91e1,keyword,congresses,history,forest management,forests and forestry,biography,fort collins,,en
mystery,mystery,2/21/2021 15:14,123566b4f50272132d36088b6d7a47ab8e11e83b,keyword,detective and mystery stories,murder,investigation,american detective and mystery stories,"fiction, mystery & detective, women sleuths",,,en
mystery,mystery,2/21/2021 15:14,3a6e1bc3eb996469d0b375af89dca69e3e3ac242,keyword,detective and mystery stories,murder,investigation,american detective and mystery stories,"fiction, mystery & detective, women sleuths",,,en
WW2,ww2,2/21/2021 15:14,c6f66056e7cfb0286af3b64586e7e17694be5829,keyword,"world war, 1939-1945",ww2,campaigns,american personal narratives,biography,,,en
Stock Market,stock market,2/21/2021 15:14,b6472a07061144c1c5d62c6268a73ec85e9f4923,keyword,stock exchanges,stocks,investments,securities,speculation,,,en
the wind and the willows,the wind and the willows,2/21/2021 15:15,b0f1889f1349058137ede4369722c47923ad1d16,title,children's fiction,country life,animals,friendship,"animals, fiction",,,en
coffee,coffee,2/21/2021 15:15,e9dcf3986993273c17c7f7bfb044ae72c5e84116,keyword,coffee,cookery (coffee),coffee industry,cooking (coffee),history,,,en
Invsting,inviting,2/21/2021 15:15,dc2d0fdf91a71c4a2d9e0d882302a756300c2a0a,keyword,textbooks for foreign speakers,french language,english,grammar,"fiction, romance, general",,,en
Investing,investing,2/21/2021 15:16,dc2d0fdf91a71c4a2d9e0d882302a756300c2a0a,keyword,investments,investment analysis,portfolio management,investissements,investeringen,,,en
Colorad o,colorado,2/21/2021 15:16,78495942b250145194792ddd4590f66b67f42b8b,keyword,law and legislation,educational law and legislation,law,civil procedure,colorado,,,en
Jane Austen Biography,jane austen biography,2/21/2021 15:16,881e1ba2e8a22fd32a1adedbc7d0a42bda8dd401,keyword,biography,english novelists,"novelists, english","austen, jane, 1775-1817","authors, english",,,en
clorado,colorado,2/21/2021 15:16,78495942b250145194792ddd4590f66b67f42b8b,keyword,law and legislation,educational law and legislation,law,civil procedure,colorado,,,en
colorado,colorado,2/21/2021 15:17,78495942b250145194792ddd4590f66b67f42b8b,keyword,law and legislation,educational law and legislation,law,civil procedure,colorado,,,en
Trump,trump,2/21/2021 15:17,f1b47092610d381fc075764fa62ad448573a6094,keyword,"trump, donald, 1946-",biography,real estate developers,success in business,management,,,en
Fort Collins,fort collins,2/21/2021 15:17,fc9ec1ab107e0b451773d95945eafadc60ceb34c,keyword,congresses,history,forest management,forests and forestry,biography,fort collins,,en
children's stories,children's stories,2/21/2021 15:18,4643e13df070525cc4bca0e00b64421cca2df61b,keyword,children's stories,children,children's fiction,bibliography,short stories,,,en
elf,elf,2/21/2021 15:18,94ab36b77e380397ddeb9dde65a169a10bd055d9,keyword,elves,children's fiction,fairies,general,christmas stories,,,en
Donald Trump,donald trump,2/21/2021 15:18,f1b47092610d381fc075764fa62ad448573a6094,keyword,"trump, donald, 1946-",success in business,biography,real estate developers,management,,,en
Fast and Furious,fast and furious,2/21/2021 15:18,99d91f96e495abbde95ded01b3daf5891c667cbe,keyword,biography,readers,drug traffic,illegal arms transfers,united states,,,en
Garth Brooks,garth brooks,2/21/2021 15:19,ca78bc88bc90270c3a7268400af97fdf3f6e4098,keyword,country musicians,biography,country music,music,singers,,,en
wimpy kid,wimpy kid,2/21/2021 15:19,fc1eac79995c1ec203eef762034605774ee5f128,keyword,humorous stories,diaries,children's fiction,"diaries, fiction",families,,,en
Fast furious 2,fast furious 2,2/21/2021 15:19,99d91f96e495abbde95ded01b3daf5891c667cbe,keyword,drug traffic,"united states. bureau of alcohol, tobacco, and firearms",illegal arms transfers,corrupt practices,united states,,,en
barbie,barbie,2/21/2021 15:20,6d92d85bee5ed0555f051ba727e8c9890fc2558b,keyword,dolls,barbie (fictitious character),mystery and detective stories,friendship,toy and movable books,,,en
eruojiwnjsaipd,eruojiwnjsaipd,2/21/2021 15:20,4fc76f45bac17bf2769dfa4ac7286c2606a7f0be,keyword,N/a,N/a,N/a,N/a,N/a,,,en
finojiewf,finojiewf,2/21/2021 15:20,43d7205200206d87b2bb0093b07d14fd44604ea8,keyword,N/a,N/a,N/a,N/a,N/a,,,en
comuters,computers,2/21/2021 15:20,19bc06bd1926a1803f0b878045fb8d266197bb02,keyword,business / economics / finance,business/economics,market surveys,computers,analysis,,,en
i know what you did last summer,i know what you did last summer,2/21/2021 15:21,dc81dbb5a2193bbbcdcc372011859e2c7a6118df,keyword,children: grades 4-6,mystery and detective stories,detective and mystery stories,biography,reading level-grade 7,,,en
computers,computers,2/21/2021 15:21,19bc06bd1926a1803f0b878045fb8d266197bb02,keyword,business / economics / finance,business/economics,market surveys,computers,analysis,,,en
toyota camry,toyota camry,2/21/2021 15:21,a5e33c3aa3292f38aad8c6b911a16001b08618b0,keyword,maintenance and repair,camry automobile,"handbooks, manuals",toyota automobiles,lexus automobile,,,en
how to knit a sweater,how to knit a sweater,2/21/2021 15:21,c18421daa1d38f1269be01737bc14862e756d4d2,keyword,patterns,knitting,sweaters,vests,,,,en
how to sweat a knitter,how to sweat a knitter,2/21/2021 15:22,c18421daa1d38f1269be01737bc14862e756d4d2,keyword,N/a,N/a,N/a,N/a,N/a,,,en
pumpkin pie,pumpkin pie,2/21/2021 15:22,afa4cd4893c7f0157cd92cb0514b3d69a5bbdedf,keyword,pumpkin,pies,halloween,"pumpkin, fiction",children's fiction,,,en
"""23052002913372""","""23052002913372""",2/21/2021 15:22,8d8c221a2260b30d9d67687cf3262531efcc47ac,keyword,N/a,N/a,N/a,N/a,N/a,,,en
paying fines,paying fines,2/21/2021 15:23,49a396ae52483c4dbaa24eab5578a4cef06a274d,keyword,fines (penalties),early works to 1800,payroll deductions,catalogs,art,,,en
beer,beer,2/21/2021 15:23,c634146c0ed180ef2a9fdce0a040fc688d84146b,keyword,beer,history,brewing,beverages - beer,cooking,,,en
Bo diddley,bo diddley,2/21/2021 15:23,3b1f4ff1accb7105753e797dffada098d14affba,keyword,biography,rock musicians,music,dictionnaires anglais,blues musicians,,,en
ann coulter,ann coulter,2/21/2021 15:23,047d4254112e236586d692e8217d159761ba91e8,author,liberalism,politics and government,conservatism,mass media,political aspects,,,en
resume help,resume help,2/21/2021 15:24,5a96e631fbb5a840225d96c28f21a32d4b81d834,keyword,resumes (employment),résumés (employment),job hunting,self-help,careers / job opportunities,,,en
calvin and hobbes,calvin and hobbes,2/21/2021 15:24,fd6ce31c33014dd27ab16bbc04fe09be3ffd132d,keyword,"comic books, strips",tiger,pictorial american wit and humor,imaginary companions,children,,,en
picture books,picture books,2/21/2021 15:24,f4faac6b10b65e4bb56d74c506089b8d6eb2bd76,keyword,catalogs,motion pictures,pictorial works,painting,painters,,,en
fort collins,fort collins,2/21/2021 15:25,3a5bd0a6e90c8b8a91f5c2ff2f9d446cc46638a3,keyword,congresses,history,forest management,forests and forestry,biography,fort collins,,en
canada,canada,2/21/2021 15:25,fe375aa008798f0291667ebaed7d5bf442839183,keyword,canada,history,description and travel,law and legislation,histoire,,,en
test prep,test prep,2/21/2021 15:25,3a5bd0a6e90c8b8a91f5c2ff2f9d446cc46638a3,keyword,graduate record examination,"universities and colleges, graduate work","universities and colleges, entrance examinations",act assessment,achievement tests,,,en
bridgerton,bridgerton,2/21/2021 15:25,9d4e74c36659cb25a112b97c6e9f3847e1f094a0,keyword,"fiction, romance, historical",man-woman relationships,nobility,social life and customs,romance,,,en
picture books about magic,picture books about magic,2/21/2021 15:26,f4faac6b10b65e4bb56d74c506089b8d6eb2bd76,keyword,concepts - general,preschool picture story books,spanish: kindergarten,fantasy,magic,,,en
bunnies,bunnies,2/21/2021 15:26,1d62acfd7266dc82ccae89caef7d48594b03081c,keyword,rabbits,stories in rhyme,children's fiction,infancy,board books,,,en
beer in fort collins,beer in fort collins,2/21/2021 15:26,c634146c0ed180ef2a9fdce0a040fc688d84146b,keyword,N/a,N/a,N/a,N/a,N/a,,,en
trails,trails,2/21/2021 15:27,ba0da3c34e5d4e12f576635062b32e6e8b57aa37,keyword,trails,guidebooks,outdoor recreation,rail-trails,hiking,,,en
fluffy,fluffy,2/21/2021 15:27,be20db93560a13dfc43e99c41165a5d81cc18a7e,keyword,guinea pigs,dogs,schools,children's fiction,animals,,,en
toronto,toronto,2/21/2021 15:27,fe375aa008798f0291667ebaed7d5bf442839183,keyword,guidebooks,history,pictorial works,description and travel,toronto (ont.),,,en
Geronimo Stilton,geronimo stilton,2/21/2021 15:27,11066d160e64c04a8c78f179d24e9d22644b182b,author,children's fiction,"mice, fiction",mice,cartoons and comics,"comic books, strips",,,en
the giving tree,the giving tree,2/21/2021 15:28,1d62acfd7266dc82ccae89caef7d48594b03081c,title,trees,history,description and travel,early works to 1800,gardening,,,en
the duke and i,the duke and i,2/21/2021 15:28,b130fec9df1a134a4815a8170a3a223c3ce5cbc7,title,history,sources,early works to 1800,drama,politics and government,,,en
colorado lakes,colorado lakes,2/21/2021 15:28,d797d440c7902877e7d5fec93ecef516bf1fe767,keyword,geology,mines and mineral resources,lakes,fishes,environmental aspects,,,en
run the jewels,run the jewels,2/21/2021 15:29,10ce72f73d6a012068954128c80306a246459b9c,keyword,india,catholic church -- controversial literature -- early works to 1800,sword of vermillion,toejam & earl,decap attack,,,en
sewing,sewing,2/21/2021 15:29,f0616cc47cab907b39ff261d389dff9b8163b671,keyword,sewing,sewing machines,handicraft,needlework,advertising cards,,,en
fashion,fashion,2/21/2021 15:29,c565cd9fdabae563cb99aea2bab046e904bc23c0,keyword,law and legislation,taxation,income tax,corporation law,united states,,,en
bird guide,bird guide,2/21/2021 15:29,2a18d944f8a4bedcd1de5c66c32b53d6b9d3a131,keyword,birds,identification,nature,birds & birdwatching - general,pruning,,,en
greenlights,greenlight,2/21/2021 15:30,9380cd1ac825accb850fa00af6d44fb23f0e143b,keyword,antiquities,metal detectors,treasure troves,metal-work,metal detecting,,,en
interview prep,interview prep,2/21/2021 15:30,a4de1d38f7ef54680ca0407513e75ea19cb742d3,keyword,employment interviewing,"examinations, questions",study guides,fire extinction,examinations,,,en
tea,tea,2/21/2021 15:30,0854e1ad1d6a94f254844d3828abb3ceeec9135d,keyword,tea,tea trade,history,cooking (tea),lesbians,,,en
atlas of the world,atlas of the world,2/21/2021 15:31,0854e1ad1d6a94f254844d3828abb3ceeec9135d,keyword,atlases,maps,"maps, charts & atlases",economic indicators,social indicators,,,en
bridgerton,bridgerton,2/21/2021 15:31,3a9870d0e97dbf290a7c4a306588454f52ae9b93,keyword,"fiction, romance, historical",man-woman relationships,nobility,social life and customs,romance,,,en
vanishing half,vanishing half,2/21/2021 15:31,1a387ca4c6e2213212bddd7d7a6e88a9a642ecb8,keyword,"fiction, psychological","sisters, fiction","fiction, family life","twins, fiction",criticism and interpretation,,,en
stacey abrahms,stacey abrahms,2/21/2021 15:31,10ce72f73d6a012068954128c80306a246459b9c,keyword,N/a,N/a,N/a,N/a,N/a,,,en
design,design,2/21/2021 15:32,c565cd9fdabae563cb99aea2bab046e904bc23c0,keyword,classic literature,readers,industrial design,texts,open library staff picks,,,en
interview questions,interview questions,2/21/2021 15:32,a4de1d38f7ef54680ca0407513e75ea19cb742d3,keyword,employment interviewing,police questioning,interviewing in law enforcement,job hunting,"handbooks, manuals",,,en
programming,programming,2/21/2021 15:32,c05641563010e3f9b25b2c86491487b82bf78e19,keyword,congresses,computer programming,programming (mathematics),electronic data processing,quartos,,,en
precious,precious,2/21/2021 15:33,a4b3aac98bf52e2d742b0a31e78e06741b3ac9e5,keyword,biography,general,families,foster home care,missing children,,,en
michelle robinson,michelle robinson,2/21/2021 15:33,ee50836c3f1ce130e08c2377561b115dd00cabfb,keyword,children's fiction,stories in rhyme,picture books,humorous stories,bedtime,,,en
writing a cover letter,writing a cover letter,2/21/2021 15:33,6eb20a3b466a09ba3f2ebb679a69de8cc13f784d,keyword,cover letters,résumés (employment),job hunting,applications for positions,resumes (employment),,,en
learn python,learn python,2/21/2021 15:33,c05641563010e3f9b25b2c86491487b82bf78e19,keyword,python (computer program language),object-oriented programming (computer science),machine learning,microcomputers,mathematics,,,en
push by sapphire,push by sapphire,2/21/2021 15:34,a4b3aac98bf52e2d742b0a31e78e06741b3ac9e5,keyword,"new york (n.y.), fiction",child abuse,"african americans, fiction",pregnant schoolgirls,african americans,,,en
eat this not that,eat this not that,2/21/2021 15:34,814859cca02929ea802b4cde66f32f1983e2ca15,keyword,nutrition,convenience foods,popular works,weight loss,reducing diets,,,en
fifty shades of grey,fifty shades of grey,2/21/2021 15:34,68b3ed27ad92b00864b35588bad381652da1ce8a,keyword,man-woman relationships,college students,businessmen,"fiction, erotica",erotic stories,,,en
marilynne robinson,marilynne robinson,2/21/2021 15:35,ee50836c3f1ce130e08c2377561b115dd00cabfb,keyword,clergy,"fiction, family life","iowa, fiction","fathers and sons, fiction",philosophy,,,en
jnedmkojn,jnedmkojn,2/21/2021 15:35,e12a1e200d1ea06a5c503a2473a631eb286633ef,keyword,N/a,N/a,N/a,N/a,N/a,,,en
George Bush,george bush,2/21/2021 15:35,8ef20c1e8b4c0c6cba05f2357db2c805b6bdb515,keyword,presidents,biography,politics and government,foreign relations,bible,,,en
python for dummies,python for dummies,2/21/2021 15:35,c05641563010e3f9b25b2c86491487b82bf78e19,keyword,python (computer program language),computer programming,data mining,data structures (computer science),programming languages (electronic computers),,,en
untamed,untamed,2/21/2021 15:36,3a5bd0a6e90c8b8a91f5c2ff2f9d446cc46638a3,keyword,romance,"fiction, romance, general","fiction, romance, historical",historical fiction,christian life,,,en
First Son,first son,2/21/2021 15:36,8ef20c1e8b4c0c6cba05f2357db2c805b6bdb515,keyword,history,history and criticism,english literature,criticism and interpretation,children's fiction,,,en
